Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
0.000, 0.0
0.000, 1.0
0.000, 2.0
-0.001, 3.0
-0.001, 4.0
-0.001, 5.0
-0.001, 6.0
-0.001, 7.0
-0.002, 8.0
-0.002, 9.0
-0.002, 10.0
-0.002, 11.0
-0.002, 12.0
-0.002, 13.0
-0.002, 14.0
-0.002, 15.0
-0.002, 16.0
-0.002, 17.0
-0.003, 18.0
-0.003, 19.0
-0.003, 20.0
-0.003, 21.0
-0.003, 22.0
-0.003, 23.0
-0.003, 24.0
-0.002, 25.0
-0.002, 26.0
-0.002, 27.0
-0.002, 28.0
-0.002, 29.0
-0.002, 30.0
-0.002, 31.0
-0.002, 32.0
-0.002, 33.0
-0.002, 34.0
-0.001, 35.0
-0.001, 36.0
-0.001, 37.0
-0.001, 38.0
-0.001, 39.0
0.000, 40.0
0.000, 41.0
0.000, 42.0
0.000, 43.0
0.000, 44.0
0.001, 45.0
0.001, 46.0
0.001, 47.0
0.002, 48.0
0.002, 49.0
0.002, 50.0
0.003, 51.0
0.003, 52.0
0.003, 53.0
0.004, 54.0
0.004, 55.0
0.004, 56.0
0.005, 57.0
0.005, 58.0
0.006, 59.0
0.006, 60.0
0.007, 61.0
0.007, 62.0
0.008, 63.0
0.008, 64.0
0.009, 65.0
0.009, 66.0
0.010, 67.0
0.010, 68.0
0.011, 69.0
0.011, 70.0
0.012, 71.0
0.012, 72.0
0.013, 73.0
0.014, 74.0
0.014, 75.0
0.015, 76.0
0.015, 77.0
0.016, 78.0
0.017, 79.0
0.017, 80.0
0.018, 81.0
0.019, 82.0
0.020, 83.0
0.020, 84.0
0.021, 85.0
0.022, 86.0
0.022, 87.0
0.023, 88.0
0.024, 89.0
0.025, 90.0
0.026, 91.0
0.026, 92.0
0.027, 93.0
0.028, 94.0
0.029, 95.0
0.030, 96.0
0.031, 97.0
0.031, 98.0
0.032, 99.0
0.033, 100.0
0.034, 101.0
0.035, 102.0
0.036, 103.0
0.037, 104.0
0.038, 105.0
0.039, 106.0
0.040, 107.0
0.041, 108.0
0.042, 109.0
0.043, 110.0
0.044, 111.0
0.045, 112.0
0.046, 113.0
0.047, 114.0
0.048, 115.0
0.049, 116.0
0.050, 117.0
0.051, 118.0
0.052, 119.0
