Datos de Termopar tipo C. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
0.000, 0.0
0.013, 1.0
0.026, 2.0
0.040, 3.0
0.053, 4.0
0.067, 5.0
0.080, 6.0
0.094, 7.0
0.107, 8.0
0.121, 9.0
0.135, 10.0
0.148, 11.0
0.162, 12.0
0.176, 13.0
0.189, 14.0
0.203, 15.0
0.217, 16.0
0.231, 17.0
0.244, 18.0
0.258, 19.0
0.272, 20.0
0.286, 21.0
0.300, 22.0
0.314, 23.0
0.328, 24.0
0.342, 25.0
0.356, 26.0
0.370, 27.0
0.384, 28.0
0.398, 29.0
0.412, 30.0
0.426, 31.0
0.440, 32.0
0.454, 33.0
0.469, 34.0
0.483, 35.0
0.497, 36.0
0.511, 37.0
0.525, 38.0
0.540, 39.0
0.554, 40.0
0.568, 41.0
0.583, 42.0
0.597, 43.0
0.612, 44.0
0.626, 45.0
0.640, 46.0
0.655, 47.0
0.669, 48.0
0.684, 49.0
0.698, 50.0
0.713, 51.0
0.727, 52.0
0.742, 53.0
0.757, 54.0
0.771, 55.0
0.786, 56.0
0.801, 57.0
0.815, 58.0
0.830, 59.0
0.845, 60.0
0.860, 61.0
0.874, 62.0
0.889, 63.0
0.904, 64.0
0.919, 65.0
0.934, 66.0
0.948, 67.0
0.963, 68.0
0.978, 69.0
0.993, 70.0
1.008, 71.0
1.023, 72.0
1.038, 73.0
1.053, 74.0
1.068, 75.0
1.083, 76.0
1.098, 77.0
1.114, 78.0
1.129, 79.0
1.144, 80.0
1.159, 81.0
1.174, 82.0
1.189, 83.0
1.205, 84.0
1.220, 85.0
1.235, 86.0
1.250, 87.0
1.266, 88.0
1.281, 89.0
1.296, 90.0
1.312, 91.0
1.327, 92.0
1.342, 93.0
1.358, 94.0
1.373, 95.0
1.389, 96.0
1.404, 97.0
1.420, 98.0
1.435, 99.0
1.451, 100.0
1.466, 101.0
1.482, 102.0
1.497, 103.0
1.513, 104.0
1.529, 105.0
1.544, 106.0
1.560, 107.0
1.576, 108.0
1.591, 109.0
1.607, 110.0
1.623, 111.0
1.639, 112.0
1.654, 113.0
1.670, 114.0
1.686, 115.0
